gene_id,velocity_gamma,velocity_r2,velocity_genes,means,dispersions,dispersions_norm,highly_variable,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_diff_kinetics,fit_pval_kinetics
AT5G43180,0.07187272,0.7285755276679993,True,0.050745796586956445,0.4238296526902569,3.1232119048595033,True,1.1021795998736958,12.533355704638325,0.8217162933335427,6.164903329643236,0.09005609571933743,0.030877044424414635,0.48601052165031433,0.29078857830385374,0.0,0.0,0.47102788714670857,0.07277089149604449,1.2849139270918637,0.30352424270545897,1.1033661679568305,,
AT3G01940,0.0,0.0,False,0.013482896485384433,0.2692457329965542,2.375396434546516,True,,,,,,,,,,,,,,,,,
AT5G37180,0.13764878,0.3037295341491699,True,0.0009825722755081965,0.24160897272172543,2.241700789334524,True,0.24774293305375264,5.745308381626832,0.4358526711673445,2.6368494237768862,0.1693928126576874,0.011300275102257729,0.0831039547920227,1.636590422902264e-05,0.0,0.0,0.46317426080979207,0.03840898594253455,0.3777089795691828,2.8822366180940047,1.1767995948615608,,
AT3G56240,0.027100356,0.6988689303398132,True,0.6593498207640126,0.5550936672601219,1.4038558637637475,True,5.72538959054442,56.5793411134276,1.5396909011961661,8.20205500407758,0.011026059687137605,0.024238016456365585,1.0386723279953003,0.42706787016658376,0.0,0.0,0.4734291062115328,0.06807055403820884,2.5271658218337287,0.27911219842468576,0.7213304886901776,"Atrichoblast,Per",0.0067542738797091925
AT3G16370,0.052993312,0.3283693790435791,True,0.013363697207869677,0.053317309492113926,1.3308206733880101,True,0.3400282291628528,13.708178579244393,0.8356980409932607,4.026699974959324,0.08114845788727207,0.007418540306389332,0.1157216727733612,4.0516151632691915e-106,0.0,0.0,0.2548178979415314,0.023395309435622583,0.2896462452341,0.7740331047098894,0.9753707187721778,,
AT3G28510,0.0,0.0,False,0.0006604935967554458,0.4268141754459581,3.1376498379423032,True,,,,,,,,,,,,,,,,,
AT1G07135,0.0,0.0,False,0.2895021343888736,0.3750786729870858,1.1445988032708616,True,,,,,,,,,,,,,,,,,
AT5G06610,0.032482263,0.4249182939529419,True,0.026594810829340444,0.39980985999178,3.0070137090237194,True,1.6139672364010256,18.15604491055132,0.6331850605948444,2.4841749365715917,0.054533116184175,0.018500763922929764,0.5784338712692261,5.163220518133331e-56,0.0,0.0,0.4873668372047545,0.061933401370461744,1.5776329597394012,0.4203087025948934,1.5831642920819464,,
AT3G25980,0.08039658,0.4648780822753906,True,0.012883020304632302,0.3624071668533204,2.826074368012502,True,0.42061854992619707,8.080922873849856,0.49984407623889343,3.952273837619043,0.0943172999843955,0.01303961779922247,0.18629546463489532,1.1323497174750112e-66,0.0,0.0,0.4448483213713148,0.04227278894508993,0.5397243689793836,0.9157044532753315,1.6837870043490606,"Stem Cell Niche,",0.00027912266988607134
AT4G23410,0.16356516,0.8957564011216164,True,0.03889572999313454,0.3371256705297884,2.7037725522682847,True,1.6562155724238818,7.8061385758801665,1.0610517483488109,5.275816393626215,0.0653676337748766,0.05279308930039406,0.3816068172454834,0.10636694661607264,0.0,0.0,0.48671073991673086,0.18603886526516963,0.9631986273372353,0.2468151129528346,0.8818881210774046,,
